height,weight,chest_circ,tshirt_size,color
1617,652,97.5,Medium,blue
1585,624,100.5,Medium,blue
1647,994,119.5,X-Large,green
1643,748,101.6,Medium,blue
1677,649,90.1,Small,red
1670,542,88.9,Extra Small,yellow
1651,814,98.3,Medium,blue
1525,563,88.3,Extra Small,yellow
1715,967,115.2,X-Large,green
1602,837,114.8,X-Large,green
1570,502,85.5,Extra Small,yellow
1662,657,90.1,Small,red
1561,707,98.3,Medium,blue
1543,669,96.8,Medium,blue
1562,597,92.3,Small,red
1627,720,89.7,Extra Small,yellow
1678,750,94.0,Small,red
1608,673,99.0,Medium,blue
1672,784,90.6,Small,red
1661,516,76.9,2X-Small,pink
1574,630,101.0,Medium,blue
1670,793,104.6,Large,lawngreen
1585,564,89.5,Extra Small,yellow
1574,687,99.7,Medium,blue
1617,590,84.6,Extra Small,yellow
1592,603,90.4,Small,red
1705,699,99.1,Medium,blue
1620,573,87.8,Extra Small,yellow
1579,654,95.7,Medium,blue
1661,603,87.6,Extra Small,yellow
1595,771,95.5,Medium,blue
1646,767,106.2,Large,lawngreen
1522,667,93.2,Small,red
1760,783,92.8,Small,red
1505,518,85.0,Extra Small,yellow
1708,663,83.8,2X-Small,pink
1659,655,93.8,Small,red
1613,690,100.4,Medium,blue
1666,680,90.5,Small,red
1565,609,91.8,Small,red
1578,646,85.9,Extra Small,yellow
1480,540,88.0,Extra Small,yellow
1636,530,82.9,2X-Small,pink
1608,789,94.5,Small,red
1552,431,82.5,2X-Small,pink
1559,746,98.5,Medium,blue
1595,712,99.8,Medium,blue
1674,727,101.6,Medium,blue
1661,613,84.5,Extra Small,yellow
1550,574,87.8,Extra Small,yellow
1597,655,90.2,Small,red
1543,577,88.4,Extra Small,yellow
1636,585,83.7,2X-Small,pink
1563,627,92.3,Small,red
1506,535,90.5,Small,red
1689,652,85.1,Extra Small,yellow
1600,702,99.2,Medium,blue
1827,931,102.1,Large,lawngreen
1594,532,82.4,2X-Small,pink
1768,735,97.4,Medium,blue
1658,557,78.3,2X-Small,pink
1629,655,94.5,Small,red
1672,691,97.5,Medium,blue
1783,965,101.3,Medium,blue
1571,702,97.0,Medium,blue
1525,523,83.8,2X-Small,pink
1595,660,92.3,Small,red
1708,814,100.9,Medium,blue
1818,952,102.9,Large,lawngreen
1688,658,83.2,2X-Small,pink
1568,503,78.2,2X-Small,pink
1555,547,88.5,Extra Small,yellow
1645,688,98.8,Medium,blue
1631,604,83.3,2X-Small,pink
1563,669,91.9,Small,red
1566,599,92.6,Small,red
1585,616,87.0,Extra Small,yellow
1518,548,87.2,Extra Small,yellow
1590,604,83.8,2X-Small,pink
1462,519,84.5,Extra Small,yellow
1599,640,93.0,Small,red
1665,669,84.5,Extra Small,yellow
1712,791,100.7,Medium,blue
1634,598,90.8,Small,red
1628,736,97.5,Medium,blue
1625,825,108.0,Large,lawngreen
1718,756,99.6,Medium,blue
